Titulo,Cifra,Fecha,Valor,Año,Mes,Nombre_Mes,Dia,Serie
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/02/2010,97.86470125,2010,2,February,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2010,98.22243202,2010,3,March,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/04/2010,97.70062941,2010,4,April,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/05/2010,96.38268988,2010,5,May,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/06/2010,96.27774979,2010,6,June,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/07/2010,96.34488849,2010,7,July,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/08/2010,96.67298948,2010,8,August,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/09/2010,97.02258394,2010,9,September,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/10/2010,98.05856593,2010,10,October,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/11/2010,99.5336624,2010,11,November,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/12/2010,99.82036627,2010,12,December,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/01/2011,100.5927251,2011,1,January,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/02/2011,101.2428964,2011,2,February,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/03/2011,101.6623463,2011,3,March,1,Canasta Básica
